                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2352,                 3.3755,                 1.4043,                0.37374,                0.39942,                0.34355,                0.21523,                 1.2982,                 2.0528,                 1.6445,             0.00032979,             0.00032979,             0.00032979
                      2,                  1.301,                 1.9912,                 1.4404,                0.40667,                 0.2205,                0.20168,                0.11417,                 1.5787,                 2.8053,                 1.8933,             0.00065656,             0.00065656,             0.00065656
                      3,                 1.3446,                 1.9387,                 1.4664,                0.46913,                0.19606,                0.18726,                0.10168,                 1.7762,                 2.6328,                 2.0728,             0.00097672,             0.00097672,             0.00097672
                      4,                 1.3678,                 1.9005,                 1.4951,                0.29565,                0.37134,                0.31939,                0.18717,                 1.4831,                 2.1379,                 1.7334,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.3254,                 1.8128,                 1.4447,                0.38237,                0.36809,                0.34186,                0.20359,                 1.4832,                 1.9175,                 1.6408,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.3007,                  1.752,                 1.4449,                0.42737,                0.38318,                0.33134,                0.19536,                 1.5257,                 1.9722,                 1.7976,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2589,                 1.6377,                 1.4203,                0.51019,                0.49394,                0.47165,                0.29978,                 1.3855,                 1.6193,                 1.5533,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.2196,                 1.5636,                 1.3729,                0.56622,                0.41033,                0.46359,                0.28538,                 1.3949,                   1.63,                 1.5577,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.2425,                 1.5409,                  1.377,                0.51142,                0.45275,                0.45715,                0.30093,                 1.3318,                 1.5586,                 1.5208,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1992,                  1.491,                 1.3552,                0.64342,                 0.3693,                  0.431,                0.27417,                 1.4061,                 1.7114,                 1.5865,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.2157,                 1.4724,                 1.3689,                0.72438,                0.44097,                0.48388,                0.28703,                 1.3758,                 1.6979,                 1.5445,               0.000901,               0.000901,               0.000901
                     12,                  1.164,                 1.4076,                 1.3337,                0.61401,                0.46024,                0.50419,                0.33922,                 1.2704,                 1.4642,                 1.4545,              0.0008911,              0.0008911,              0.0008911
                     13,                  1.145,                 1.3785,                 1.3347,                0.59416,                0.40191,                0.50499,                   0.34,                 1.2666,                 1.4745,                 1.4728,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1236,                  1.313,                 1.3099,                0.66897,                0.48124,                0.54587,                0.36918,                 1.2247,                 1.3929,                 1.4024,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.0887,                 1.2599,                 1.2916,                0.59501,                0.52349,                0.57755,                0.38666,                  1.261,                 1.3068,                 1.4432,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0862,                  1.251,                 1.2819,                 0.6762,                0.49332,                0.56892,                 0.3848,                 1.2047,                 1.3734,                 1.4154,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.0748,                 1.1882,                 1.2861,                0.59064,                0.51546,                0.54821,                0.36006,                 1.2698,                 1.4218,                 1.4756,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0661,                 1.1731,                 1.2666,                0.55618,                0.54989,                0.58743,                0.40483,                 1.2008,                 1.2359,                 1.3929,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.0517,                 1.1477,                 1.2445,                0.70117,                0.44596,                0.54414,                0.36247,                 1.2838,                 1.4173,                 1.4963,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0319,                 1.1144,                 1.2426,                0.59363,                0.58065,                0.61381,                0.42592,                 1.2013,                 1.2387,                 1.4028,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.0377,                 1.1043,                 1.2318,                0.61184,                0.53366,                0.57362,                0.39292,                 1.1597,                 1.2563,                 1.3687,               0.000802,               0.000802,               0.000802
                     22,                 1.0194,                 1.0635,                 1.2319,                0.68044,                0.54914,                0.64203,                0.44494,                 1.1574,                 1.1426,                 1.3666,              0.0007921,              0.0007921,              0.0007921
                     23,                0.99776,                 1.0395,                 1.2267,                0.62505,                0.52273,                0.57118,                0.39759,                 1.1433,                 1.2486,                  1.354,              0.0007822,              0.0007822,              0.0007822
                     24,                  0.969,                0.99381,                 1.2105,                0.66163,                 0.5911,                0.64258,                0.44504,                 1.1574,                 1.1432,                  1.366,              0.0007723,              0.0007723,              0.0007723
                     25,                0.98437,                  1.002,                  1.212,                0.66655,                 0.5766,                0.64478,                0.44722,                 1.1738,                 1.1476,                 1.3653,              0.0007624,              0.0007624,              0.0007624
                     26,                0.96168,                0.95899,                 1.2051,                0.76377,                0.50165,                0.61477,                0.42862,                 1.1937,                 1.1877,                 1.3725,              0.0007525,              0.0007525,              0.0007525
                     27,                0.94608,                0.92465,                 1.1854,                0.78982,                0.50761,                0.64474,                0.44624,                 1.1672,                 1.2223,                 1.3566,              0.0007426,              0.0007426,              0.0007426
                     28,                0.94539,                0.90387,                 1.1792,                0.73788,                0.56058,                0.65758,                0.47409,                 1.1216,                 1.1618,                 1.3277,              0.0007327,              0.0007327,              0.0007327
                     29,                 0.9322,                0.90966,                 1.1761,                 0.6996,                0.54298,                0.63885,                0.45104,                 1.1569,                 1.1685,                 1.3472,              0.0007228,              0.0007228,              0.0007228
                     30,                0.94675,                0.89661,                 1.1842,                0.60789,                0.58339,                0.61373,                0.42193,                  1.169,                 1.1414,                 1.3586,              0.0007129,              0.0007129,              0.0007129
                     31,                0.92424,                0.90013,                 1.1748,                0.72765,                0.57772,                0.63516,                0.44816,                 1.1271,                 1.0965,                 1.3324,               0.000703,               0.000703,               0.000703
                     32,                0.89076,                0.85022,                 1.1474,                0.64788,                0.58131,                 0.6396,                0.44363,                 1.1697,                 1.1822,                 1.3692,              0.0006931,              0.0006931,              0.0006931
                     33,                0.89139,                0.83501,                 1.1528,                  0.792,                0.55854,                0.65453,                0.45416,                 1.1709,                 1.1219,                 1.3744,              0.0006832,              0.0006832,              0.0006832
                     34,                0.91564,                0.82807,                 1.1678,                0.69213,                0.58474,                0.63877,                0.45032,                 1.1783,                 1.1456,                 1.3875,              0.0006733,              0.0006733,              0.0006733
                     35,                0.89159,                0.81225,                 1.1502,                0.59297,                0.62543,                0.64762,                0.44802,                 1.1396,                 1.0969,                 1.3506,              0.0006634,              0.0006634,              0.0006634
                     36,                0.87882,                0.79968,                 1.1436,                0.65742,                0.58461,                0.64031,                  0.461,                 1.1328,                 1.1759,                 1.3473,              0.0006535,              0.0006535,              0.0006535
                     37,                0.86511,                  0.791,                 1.1267,                 0.6656,                0.58007,                0.62241,                0.43591,                  1.126,                 1.1472,                 1.3639,              0.0006436,              0.0006436,              0.0006436
                     38,                0.84921,                  0.764,                 1.1176,                0.69484,                0.60346,                 0.6701,                 0.4732,                 1.1359,                 1.0785,                 1.3502,              0.0006337,              0.0006337,              0.0006337
                     39,                0.84608,                  0.779,                 1.1207,                0.72322,                0.61441,                0.68803,                0.48579,                 1.1224,                  1.055,                 1.3404,              0.0006238,              0.0006238,              0.0006238
                     40,                0.82816,                0.72327,                 1.1063,                0.67816,                0.60652,                0.68166,                0.48493,                 1.1191,                 1.0816,                 1.3252,              0.0006139,              0.0006139,              0.0006139
                     41,                0.82891,                0.73823,                 1.1158,                0.76932,                0.55501,                 0.6785,                0.47236,                 1.0928,                 1.0579,                 1.3062,               0.000604,               0.000604,               0.000604
